is_positive,message,bart_is_positive,sentiment,score
0,@Nkluvr4eva My poor little dumpling  In Holmdel vids he was really trying...Hope he dont try to hard tonight xx,0.0051625701598823,negative,0.35
0,I'm off too bed. I gotta wake up hella early tomorrow morning. ,0.3394302129745483,negative,0.35
0,I havent been able to listen to it yet  My speakers are busted,0.0657027810811996,negative,0.3
0,now remembers why solving a relatively big equation with two unknowns is a total pain in the butt ,0.0040459176525473,negative,0.2
0,"Ate too much, feel sick ",0.0005810442962683,negative,0.2
0,Tried to purchase a parked domain through GoDaddy. $70 down the drain  kind of like gambling...,0.0011157452827319,negative,0.2
1,on lunch....dj should come eat with me ,0.65755695104599,positive,0.7
0,Just got back from VA Tech Equine Medical Center...my poor Lilly has to be on stall rest for at least another month ,0.0178016070276498,negative,0.3
0,can't log in to my other twitter account. super bummed ,0.0016375966370105,negative,0.25
1,@TamaraSchilling Adventure - That's what we all need in our life. I am glad you had a great week. Thanks for yr response ,0.8971992135047913,positive,0.89
1,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,0.0019722625147551,positive,0.7
1,to sum up my day in one word ......... kackered! ,0.0009128881501965,negative,0.25
1,@k9wkj Great minds think alike ,0.9097216725349426,positive,0.8
0,is very tired and doesn't want to clean anymore ,0.0055838427506387,negative,0.25
1,@LochNessCullen thanks for the follow!  how are you nessie? ,0.5543631911277771,positive,0.85
1,"@SallyGreene @andrewtc04 @Syondeli thanks guys, added a couple of love handle inches after tayyabs ",0.5301926136016846,positive,0.75
1,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",0.1748044937849044,positive,0.65
0,"so sad...   tough game, went into PK's, screw you.",0.0005080206901766,negative,0.15
0,@pedromelian I miss you  I wish it was the 18th already!,0.0073326048441231,positive,0.85
0,I'm leaving in a while... ,0.3921244442462921,negative,0.4
0,Oh  I've lost my ipod. What a dickhead I am.,0.0050796372815966,negative,0.15
1,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,0.0038850635755807,positive,0.7
1,@tom_e_white http://my.safaribooksonline.com/9780596521974 -- congrats on getting out the Hadoop book (esp the ZooKeeper chapter  ),0.6051074266433716,positive,0.9
1,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,0.4304848909378052,positive,0.85
0,@PrincessSuperC I heard that supernatural and click flash didn't make the cut on the final product.....why Ciara why? ,0.0006062085740268,negative,0.3
0,Willow seems almost better! Harper sounds worse  off to the Drs...,0.1625944674015045,negative,0.35
1,MY FAVORITE WORD IS NO! ,0.001685787574388,negative,0.0
0,@ELEWW Dood - they've locked down your Vimeo WH video. ,0.0086166802793741,negative,0.3
0,is having information overload... getting dizzy  http://plurk.com/p/xugag,0.0007151830359362,negative,0.25
1,@schel You're absolutely right! ,0.8952288627624512,positive,0.9
1,"@ellieowen1 Honestly, it depends on the woman.. I love dresses that tend to dip low in the back ",0.1516597419977188,positive,0.75
0,I feel as though I'm letting down the feminist side by being so focused on ATP and not nearly as much on WTA. =/ Sorry. ,0.0012625470990315,negative,0.35
0,im trying to keep awake!!!!!!!!!!!!!!! its painful ,0.0009810223709791,negative,0.25
0,feeling ill ill ill.  goodnight.,0.0002946314052678,negative,0.2
0,@cabel the best part about that is when you do use an IE8 useragent it says to disable compatibility mode in the hints ,0.9495814442634584,positive,0.7
0,@EwitaK where is the love yall seeing movies without me ,0.0118909459561109,negative,0.35
0,@nidialmann @2_Centz wish i was there ,0.0879507511854171,positive,0.7
1,watching tv. &quot;2 fast 2 furious&quot; dang I remember when I loved this damn movie ,0.0645060315728187,positive,0.75
0,Doh! Planned to do some work in the cafe before a meeting. eduroam is not working. Spent the last ten minutes setting up roamnet. ,0.0029613135848194,negative,0.25
1,Hahaha blakk is reckkkin it. :p throwwwwwed. ,0.0019030291587114,positive,0.8
1,"Roaming the floor today  I will need some company on here, it's not busy!",0.3822712898254394,positive,0.7
1,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,0.9766804575920104,positive,0.95
1,Here  dude we got here n a table readyyy fo us ,0.6380111575126648,positive,0.7
1,@LittleFletcher Hi Carrie  How are you this morning? Xxx,0.7211174964904785,positive,0.85
1,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",0.9772621393203736,positive,0.890123
0,@OhSnapItsNicole why does it always rain when your not heree ,0.0017268189694732,negative,0.35
1,HAHAHAHAHAHHAHAHA. I dont think we need to jump anyone. She's hot  #hewouldbeluckytobebuttercupdsboyfriend,0.3949461281299591,positive,0.85
0,"@DracoRigel Good Morning to you. No sun here today I am afraid, its rainng  But got my coffee ;)",0.0282410252839326,positive,0.7
1,"@spiv1 no prob, anytime you need some drinking support/encouragement, I&quot;m here  It's my specialty ",0.7491123080253601,positive,0.85
0,@crystalchappell ok I will go back to painting my house ,0.5955873131752014,positive,0.65
1,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,0.8561540246009827,positive,0.89
1,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",0.8947096467018127,positive,0.85
0,@mscrissy nope..I know ,0.0157331451773643,negative,0.3
1,@sephrenia1982 good work ,0.9740778207778932,positive,0.85
1,@madonnamike I thought you'd be pissed at me because you love CL. I totally respect her and that's why I made the reference ,0.0171153470873832,positive,0.75
0,OKLAHOMA!!! for a couple hours. i'm seriously missing civilization ,0.2394969314336776,negative,0.35
1,@marioSOTM I ended up helping out Radio 1 newsbeat out there. It was a massively fun evening I spent with them. Champions of England! ,0.5379441380500793,positive,0.890123
1,@pmdhazy While your at it can you make me a thingamy? Looks a bit like |___/\ but bigger and it offer a hole in it  #engineeringdrawing,0.0591621994972229,positive,0.7
0,FINALLY IM BACKKKKKKK!!!!!!!!!!! =D and with bad news  R.I.P. Don To~o...,0.0039047193713486,negative,0.3
1,Happy Mother's Day to the wondeful Mum's in America  God Bless You All.,0.6932834386825562,positive,0.95
0,says i so miss justice  Broom box kada. ,0.0016560814110562,negative,0.35
1,@Primevalfans aw cool  and the woman who plays Morgana in Merlin is in it too,0.8846981525421143,positive,0.8
1,@TheUncoolest ,0.000882145948708,error,error
1,Night in with the rock star...  ,0.6254637241363525,positive,0.8
1,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,0.0011638973373919,negative,0.4
1,ugh i wish this school year would go faster so i can move on in life ,0.0005939951515756,negative,0.35
0,@IrieDiva can only make what the company has available ,0.075359009206295,neutral,0.5
0,"@rhysatwork @dsko @beet09 @ausi1 Hope you guys are all going well with your #NET12 assignments...I'm trying to cut 34,354 down to 3,435 ",0.2411826848983764,positive,0.7
1,Off to Whipsnade  Hope it's dry,0.4825909733772278,positive,0.7
0,i was at the park today and i was racing my cousins and i slipped and cut my arm ,0.0020925982389599,negative,0.35
0,Keen for hey monday to make a mess in new zealand.. if only!  i &lt;3 jesus. Straight up christian,0.0075590074993669,positive,0.85
0,"@therainbowgirl Ah, poor you  I hate when that happens!",0.0007477556937374,negative,0.2
1,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",0.412788838148117,negative,0.45
1,@openak it's just you and me bro ,0.4565913081169128,positive,0.7
1,Setting up the wireless access layer of my network today. Mesh lab coming online.  can't wait to run loads through it and gather data.,0.5732815861701965,positive,0.85
0,Its official my boss and savior is leaving arco arena for future endevors.  This really sucks ,0.0005918368697166,negative,0.25
1,"@mithss mourniiiiiiing eh, morniiing!!! ",0.0010297431144863,positive,0.7
1,in business lesson ...listen 2 music ,0.0235766489058733,positive,0.7
1,Enjoying the last rays of the weekend sun ,0.7524729371070862,positive,0.85
0,@_KrishaMarie they have a TapEx on campus.  Safe to say they make lots of money.,0.5286862850189209,positive,0.7
1,"ok ok .. i'm completely stuffed  full of AVOCADO   i thnk if i was on Survivor, i'd be fine if there was just one avo tree ",0.0225444845855236,positive,0.85
0,@imaginarypeach now your leaving me  .... -gets sad-,0.0015671380097046,negative,0.15
1,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,0.7064303159713745,positive,0.9
1,"@tamiami1976 Don't ask me, I still have no idea how to work twitter. ",0.0091447411105036,negative,0.35
0,@BaileyyScott I miss you fool ,0.0485839731991291,negative,0.35
0,Really craving some chocolate ....i think i should continue my diet ,0.0178665947169065,negative,0.4
0,OMG. I have a pimple coming in on my forehead. I guess its true...no body's perfect ,0.0024832759518176,negative,0.3
1,luvly day in the sunshine  onli 4 days now :0 OASIS,0.9747153520584106,positive,0.85
0,"last day at the sioux falls salon, i will miss my younkers family..  #fb",0.0430376641452312,negative,0.35
1,@ItsNeet 100%.. its like getting an A for all your classes.. ,0.9696021676063538,positive,1.0
1,"@alinemcintyre You should work on the next cruise, amiga! ",0.6367414593696594,positive,0.85
1,@4prina can u check mine out and tell me wat u think  www.myspace.com/trabeezy,0.0947047173976898,neutral,0.5
1,i have find my someone ,0.8966847062110901,positive,0.9
1,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,0.205103114247322,positive,0.65
1,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,0.0078595699742436,negative,0.35
1,I'm obsessed with twitting  haha,0.046094574034214,positive,0.85
1,is on the phone ,0.4654699265956878,neutral,0.5
0,@SoulAdored65  so horrible.... the poor mom...,0.0005693451385013,negative,0.1
0,@malcolmbastien I do... But then what after that? A desolate wasteland of nothing! I'll be like Mel when he was left naked in the desert ,0.0023497582878917,negative,0.2
